Model,ROC_Score,F1 Score,Recall,Precision,Accuracy
resnet18,0.7475490196078431,0.8235294117647058,0.9264705882352942,0.7411764705882353,0.773109243697479
resnet34,0.8161764705882353,0.8489208633093526,0.8676470588235294,0.8309859154929577,0.8235294117647058
resnet50,0.7352941176470589,0.8205128205128205,0.9411764705882352,0.7272727272727273,0.7647058823529411
resnet101,0.8112745098039215,0.8531468531468531,0.8970588235294118,0.8133333333333334,0.8235294117647058
resnet152,0.7916666666666666,0.8413793103448276,0.8970588235294118,0.7922077922077922,0.8067226890756303
densenet121,0.7426470588235293,0.8133333333333334,0.8970588235294118,0.7439024390243902,0.7647058823529411
densenet161,0.7696078431372548,0.8322147651006712,0.9117647058823528,0.7654320987654321,0.7899159663865546
densenet201,0.8088235294117646,0.8551724137931035,0.9117647058823529,0.8051948051948052,0.8235294117647058
