Model,ROC_Score,F1 Score,Recall,Precision,Accuracy
resnet18,0.7965686274509804,0.8513513513513513,0.9264705882352942,0.7875,0.8151260504201681
resnet34,0.8259803921568627,0.855072463768116,0.8676470588235294,0.8428571428571429,0.8319327731092437
resnet50,0.5490196078431373,0.7472527472527473,1.0,0.5964912280701754,0.6134453781512605
resnet101,0.6102941176470589,0.4742268041237113,0.3382352941176471,0.7931034482758621,0.5714285714285714
resnet152,0.7475490196078431,0.7727272727272727,0.75,0.796875,0.7478991596638656
densenet121,0.6691176470588235,0.5904761904761905,0.4558823529411764,0.8378378378378378,0.6386554621848739
densenet161,0.7352941176470589,0.8205128205128205,0.9411764705882352,0.7272727272727273,0.7647058823529411
densenet201,0.5588235294117647,0.7513812154696132,1.0,0.6017699115044248,0.6218487394957983
