Model,ROC_Score,F1 Score,Recall,Precision,Accuracy
resnet18,0.8112745098039215,0.8531468531468531,0.8970588235294118,0.8133333333333334,0.8235294117647058
resnet34,0.892156862745098,0.9142857142857144,0.9411764705882352,0.8888888888888888,0.8991596638655462
resnet50,0.803921568627451,0.8590604026845637,0.9411764705882352,0.7901234567901234,0.8235294117647058
resnet101,0.8651960784313726,0.8936170212765957,0.9264705882352942,0.863013698630137,0.8739495798319328
resnet152,0.8602941176470589,0.896551724137931,0.9558823529411764,0.8441558441558441,0.8739495798319328
densenet121,0.818627450980392,0.8611111111111112,0.9117647058823528,0.8157894736842105,0.8319327731092437
densenet161,0.8186274509803922,0.8741721854304636,0.9705882352941176,0.7951807228915663,0.8403361344537815
densenet201,0.7892156862745099,0.8435374149659864,0.9117647058823529,0.7848101265822784,0.8067226890756303
