Model,ROC_Score,F1 Score,Recall,Precision,Accuracy
resnet18,0.7450980392156863,0.8108108108108109,0.8823529411764706,0.75,0.7647058823529411
resnet34,0.7818627450980393,0.8201438848920863,0.8382352941176471,0.8028169014084507,0.7899159663865546
resnet50,0.7671568627450981,0.8344370860927153,0.9264705882352942,0.7590361445783133,0.7899159663865546
resnet101,0.8799019607843138,0.9090909090909092,0.9558823529411764,0.8666666666666667,0.8907563025210085
resnet152,0.8725490196078433,0.9014084507042254,0.9411764705882352,0.8648648648648649,0.8823529411764706
densenet121,0.8161764705882353,0.8333333333333334,0.8088235294117647,0.859375,0.8151260504201681
densenet161,0.8284313725490196,0.8671328671328671,0.9117647058823528,0.8266666666666667,0.8403361344537815
densenet201,0.8235294117647058,0.8571428571428571,0.8823529411764706,0.8333333333333334,0.8319327731092437
