Model,ROC_Score,F1 Score,Recall,Precision,Accuracy
resnet18,0.8039215686274509,0.8450704225352113,0.8823529411764706,0.8108108108108109,0.8151260504201681
resnet34,0.8308823529411764,0.8652482269503546,0.8970588235294118,0.8356164383561644,0.8403361344537815
resnet50,0.8235294117647058,0.8707482993197279,0.9411764705882352,0.810126582278481,0.8403361344537815
resnet101,0.8602941176470589,0.896551724137931,0.9558823529411764,0.8441558441558441,0.8739495798319328
resnet152,0.8725490196078433,0.9014084507042254,0.9411764705882352,0.8648648648648649,0.8823529411764706
densenet121,0.8284313725490196,0.8671328671328671,0.9117647058823528,0.8266666666666667,0.8403361344537815
densenet161,0.8480392156862744,0.8794326241134752,0.9117647058823528,0.8493150684931506,0.8571428571428571
densenet201,0.8431372549019608,0.8827586206896552,0.9411764705882353,0.8311688311688312,0.8571428571428571
